@relation BinaryFileDataset

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {jpg,png,exe,pdf,dll,zip}

@data
970,6.39982,0.851546,0.010309,1,0,0,77.735537,75.85124,79.933884,72.652893,77.057851,79.834711,78.743802,80.22314,jpg
973,6.402431,0.850976,0.00925,1,0,0,79.363636,79.950413,77.479339,89.016529,81.173554,78.842975,77.636364,80.504132,jpg
972,6.417181,0.849794,0.011317,1,0,0,77.429752,73.38843,77.487603,75.14876,76.471074,76.77686,80.239669,74.644628,jpg
974,6.393674,0.850103,0.0154,1,0,0,73.586777,80.495868,81.512397,76.132231,76.504132,79.421488,80.31405,77.892562,jpg
971,6.418751,0.850669,0.011329,1,0,0,76.355372,80.289256,82.206612,74.14876,76.619835,78.115702,79.024793,78.190083,jpg
976,6.409952,0.85041,0.012295,1,0,0,82.016393,80.581967,80.196721,78.278689,82.262295,81.459016,78.811475,79.606557,jpg
970,6.403288,0.850515,0.010309,1,0,0,79.528926,78.479339,79.694215,78.694215,85.173554,75.809917,78.041322,83.057851,jpg
971,6.401682,0.851699,0.016478,1,0,0,77.173554,81.438017,77.512397,81.008264,80.520661,77.206612,77.355372,80.942149,jpg
970,6.419803,0.849485,0.013402,1,0,0,80.330579,83.272727,76.669421,82.628099,73.743802,79.289256,75.619835,78.487603,jpg
974,6.407099,0.849076,0.010267,1,0,0,76.859504,80.702479,77.842975,78.876033,78.826446,79.132231,80.61157,75.363636,jpg
968,6.414606,0.849174,0.01343,1,0,0,75.338843,79.859504,77.735537,84.553719,76.867769,76.421488,81.92562,72.966942,jpg
970,6.406927,0.849485,0.013402,1,0,0,81.983471,77.231405,77.322314,80.909091,79.859504,78.809917,78.710744,74.636364,jpg
972,6.405381,0.851852,0.014403,1,0,0,75.099174,78.231405,80.38843,83.68595,78.966942,80.77686,74.966942,77.347107,jpg
976,6.424222,0.85041,0.012295,1,0,0,76.901639,75.967213,79.5,78.934426,75.934426,78.54918,84.090164,77.721311,jpg
970,6.412993,0.850515,0.015464,1,0,0,82.760331,81.826446,75.157025,77.661157,78.85124,82.090909,79.247934,75.884298,jpg
976,6.418398,0.851434,0.01127,1,0,0,76.942623,76.704918,76.581967,74.47541,72.967213,78.262295,83.704918,75.295082,jpg
966,6.419425,0.849896,0.012422,1,0,0,77.391667,77.175,79.266667,78.45,78.275,81.65,79.525,77.533333,jpg
974,6.408025,0.849076,0.017454,1,0,0,77.644628,73.07438,77.338843,82.380165,74.950413,74.157025,79.77686,77.528926,jpg
968,6.414614,0.849174,0.012397,1,0,0,78.876033,76.413223,80.933884,73.404959,77.768595,75.181818,80.413223,77.322314,jpg
976,6.395431,0.85041,0.014344,1,0,0,75.196721,80.614754,77.385246,81.07377,77.844262,79.459016,75.122951,77.885246,jpg
774,6.394283,0.860465,0.00646,1,0,0,76.572917,78.697917,78.708333,84.354167,83.104167,76.71875,72.489583,82.75,jpg
