@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.003472,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,53.125,0.852459,1.273737,6.421042,0.80263,k1
0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,44.736842,0.849699,1.288235,6.410713,0.801339,k1
0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,45.4,0.84919,1.267244,6.417059,0.802132,k1
0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,42.555556,0.851626,1.268687,6.411693,0.801462,k1
0.003478,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,46.842105,0.848577,1.268687,6.418194,0.802274,k1
0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,34.5625,0.865415,1.294949,6.354777,0.794347,k1
0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,49.823529,0.852356,1.268333,6.419822,0.802478,k1
0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,33.695652,0.85084,1.269697,6.403336,0.800417,k1
0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,54.058824,0.853909,1.278788,6.429709,0.803714,k1
0.00369,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,45.473684,0.848739,1.269697,6.393396,0.799175,k1
0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,50.882353,0.848577,1.268687,6.401062,0.800133,k1
0.00346,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,42.666667,0.85166,1.319192,6.417426,0.802178,k1
0.003571,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,46.894737,0.849485,1.282828,6.409571,0.801196,k1
0.006667,0.006667,0.006667,0.006667,0.006667,0.006667,0.006667,0.006667,0.006667,0.006667,35.571429,0.955056,1.269959,6.179686,0.772461,k1
0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,44.05,0.846233,1.285522,6.389441,0.79868,k1
0.00367,0.00367,0.001835,0.001835,0.001835,0.001835,0.001835,0.001835,0.001835,0.001835,55.235294,0.848361,1.273737,6.410121,0.801265,k1
0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,50.894737,0.853484,1.273737,6.422325,0.802791,k1
0.003559,0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,47.894737,0.849693,1.272054,6.405086,0.800636,k1
0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,46.631579,0.847804,1.271345,6.409381,0.801173,k1
0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,48.555556,0.84944,1.269126,6.412514,0.801564,k1
0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,46.166667,0.84814,1.288889,6.40372,0.800465,k1
0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,47.9,0.84761,1.27563,6.413933,0.801742,k1
0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,42.954545,0.848454,1.282828,6.395036,0.79938,k1
0.003676,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,48.444444,0.849899,1.26791,6.40116,0.800145,k1
0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,43.166667,0.850806,1.376471,6.40873,0.801091,k1
0.003497,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,45.904762,0.84919,1.267244,6.410936,0.801367,k1
0.002004,0.002004,0.002004,0.002004,0.002004,0.002004,0.002004,0.002004,0.002004,0.002004,47.555556,0.853409,1.284444,6.386264,0.798283,k1
