@relation EnigmaComparison

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {k1,k2}

@data
972,6.424145,0.849794,0.009259,82.784091,78.579545,79,78.511364,80.897727,74.965909,80.215909,81.909091,76.488636,80.954545,77.045455,k1
972,6.420816,0.848765,0.00823,77.681818,75.943182,77.443182,77.784091,78.613636,82.715909,75.136364,78,75.954545,75.193182,78.375,k2
973,6.409419,0.846865,0.010277,78.568182,82.636364,78.920455,76.681818,82.965909,75.227273,72.875,79.375,78.375,76.818182,75.147727,k1
973,6.417837,0.849949,0.011305,76.886364,75.386364,71.465909,76.761364,77.420455,79.409091,76.886364,80.011364,80.647727,74.5,77.840909,k2
975,6.409213,0.849231,0.005128,83.545455,77.193182,81.340909,80.159091,79.693182,79.522727,77.113636,76.318182,77.647727,78.988636,79.875,k1
975,6.410045,0.848205,0.015385,73.295455,76.306818,76.443182,78.863636,77.215909,83.738636,77.852273,72.818182,73.977273,82.477273,79.681818,k2
976,6.417299,0.85041,0.017418,76.954545,76.693182,78.511364,77.125,75.920455,75.806818,76.102273,76.318182,78.488636,77.397727,80.227273,k1
976,6.397597,0.851434,0.017418,80.954545,75.477273,78.363636,78.590909,75.306818,73.045455,77.75,73.397727,83.409091,78.806818,81.340909,k2
972,6.398681,0.847737,0.018519,73.306818,79.852273,72.375,84.363636,79.272727,73.125,75.761364,78.102273,75.193182,77.420455,79.590909,k1
972,6.409471,0.849794,0.013374,80.670455,77.863636,80.363636,76.568182,79.556818,76.897727,75.909091,79.227273,83.125,77.25,79.25,k2
975,6.410447,0.848205,0.012308,82.920455,81.647727,71.431818,82.443182,73.204545,74.602273,78.806818,75.386364,73.556818,73.011364,77.147727,k1
975,6.421696,0.850256,0.014359,80.045455,74.579545,83.409091,80.977273,84.443182,78.147727,84.488636,77.977273,81.022727,78.147727,80.409091,k2
972,6.407678,0.848765,0.015432,79.5,78.5,79.454545,73.034091,81.909091,79.636364,77.079545,72.954545,79.25,77.022727,79.090909,k1
972,6.415488,0.848765,0.012346,76.340909,77.25,75.545455,77.147727,77.795455,79.977273,75.852273,72,79.375,73.147727,81.102273,k2
974,6.418327,0.849076,0.016427,80.886364,81.909091,80.136364,80.022727,79.420455,75.909091,73.693182,76.375,77.409091,74.738636,77.852273,k1
974,6.387692,0.850103,0.00616,79.011364,82.988636,76.625,83.295455,78.363636,79.920455,80.977273,75.193182,77.204545,75.079545,78.556818,k2
969,6.408343,0.849329,0.016512,83.818182,75.284091,78.465909,79.170455,77.204545,79.477273,78.147727,76.511364,76.090909,78.363636,76.75,k1
969,6.405479,0.848297,0.012384,80.488636,73.954545,78.25,77.590909,81.102273,74.125,80.727273,77.215909,75.204545,77.488636,74.852273,k2
976,6.408341,0.852459,0.01332,76.761364,85.318182,79.5,79.943182,79.204545,73.625,86.465909,76.590909,76.670455,77.386364,80.931818,k1
976,6.412512,0.852459,0.012295,78.011364,77.420455,80.215909,75.011364,76.897727,79.659091,81.534091,80.488636,76.420455,75.602273,74.693182,k2
972,6.400347,0.850823,0.00823,75.318182,84.534091,80.340909,81.545455,81.920455,81.215909,73.602273,78.125,74.420455,78.875,81.965909,k1
972,6.423773,0.849794,0.006173,79.772727,82.579545,79.477273,76.795455,76.647727,78.136364,81.238636,77.647727,83.238636,78.693182,79.204545,k2
976,6.412486,0.848361,0.01127,80.829545,78.125,78.5,74.5,72.238636,77.818182,79.034091,77.875,78.806818,79,71.011364,k1
976,6.413977,0.849385,0.01332,76.318182,77.181818,73.352273,77.431818,73.613636,80.590909,80.670455,77.886364,78.897727,76.193182,79.454545,k2
972,6.408746,0.849794,0.010288,72.261364,73.590909,76.738636,85.136364,77.806818,79.988636,77.579545,82.977273,75.227273,78.454545,78.079545,k1
972,6.387375,0.846708,0.010288,82.034091,81.625,81.784091,76.238636,76.272727,78,79.363636,76.988636,74.693182,77.579545,75.090909,k2
975,6.419677,0.850256,0.010256,75.159091,77.034091,78.329545,85.034091,80.659091,84.909091,74.613636,80.568182,76.477273,76.022727,79.295455,k1
975,6.414446,0.849231,0.013333,79.420455,81.159091,80,79.636364,76.295455,80.522727,74.693182,79.295455,75.102273,83.863636,74.477273,k2
968,6.410477,0.852273,0.01343,75.931818,77.647727,81.897727,71.863636,76.136364,86.863636,78.25,77.272727,83.761364,81.488636,79.875,k1
968,6.391434,0.849174,0.020661,76.909091,74.045455,80.545455,71.931818,77.988636,79.659091,78.897727,77.602273,79.227273,78.829545,77.613636,k2
974,6.40414,0.849076,0.011294,76.477273,81.352273,78.670455,79.25,76.715909,79.363636,75.738636,76.727273,75.556818,80.738636,82.170455,k1
974,6.403138,0.850103,0.013347,76.534091,75.272727,77.056818,76.659091,76.965909,77.443182,78.318182,80.420455,78.318182,78.693182,80.545455,k2
969,6.419326,0.851393,0.009288,75.386364,81.022727,75.25,81.693182,79.159091,76.488636,76.147727,81.443182,82.954545,72.102273,79.181818,k1
969,6.383709,0.846233,0.007224,81.590909,81.579545,78.625,75.590909,75.170455,78.284091,78.636364,79.386364,75.988636,77.75,78.329545,k2
975,6.417054,0.850256,0.010256,79.590909,74.920455,74.340909,82.602273,76.727273,81.238636,75.761364,79.875,76.284091,78.227273,79.477273,k1
975,6.417218,0.849231,0.008205,80.738636,78.25,77.693182,81.25,83.193182,74.329545,80.829545,76.852273,78.715909,75.852273,74.102273,k2
972,6.418259,0.849794,0.012346,73.488636,77.488636,80.534091,75.556818,76.897727,78.397727,78.443182,79.545455,81.977273,78.284091,71.420455,k1
972,6.412659,0.848765,0.013374,80.102273,76.579545,73.784091,77.272727,76.204545,73.295455,80.727273,76.715909,80.306818,80.943182,80.852273,k2
976,6.393346,0.849385,0.01127,77.568182,77.75,76.556818,79.147727,81.829545,80.886364,83.977273,75.25,78.636364,76.511364,75.727273,k1
976,6.417742,0.848361,0.010246,76.113636,78.125,76.568182,79.056818,75.261364,71.75,76.352273,75.113636,75.875,84.5,82.5,k2
970,6.411208,0.851546,0.012371,78.034091,78.693182,77.488636,77.795455,80.772727,83.306818,73.136364,77.852273,72.363636,80.659091,82.159091,k1
970,6.417876,0.849485,0.012371,76.397727,82.954545,79.727273,78.943182,73.863636,78.5,79.113636,76.818182,71.477273,78.636364,72.909091,k2
976,6.415456,0.848361,0.007172,79.113636,76.420455,84.875,80.863636,80.636364,78.647727,77.431818,78.704545,79.75,77.272727,76.397727,k1
976,6.427348,0.85041,0.014344,77.215909,82.329545,75.443182,75.034091,72.715909,83.193182,74.5,79.170455,73.852273,78.75,74.590909,k2
972,6.410312,0.848765,0.011317,77.590909,75.795455,78.545455,84.886364,78.522727,79.079545,75.204545,75.113636,79.363636,80.443182,82.886364,k1
972,6.387367,0.850823,0.006173,75.965909,80.590909,74.931818,77.113636,78.340909,80.795455,74.840909,74.931818,83.215909,82.454545,76.420455,k2
974,6.416992,0.851129,0.008214,79.875,80.181818,79.136364,77.022727,80.795455,77.056818,80.943182,77.943182,78.647727,84.954545,80.431818,k1
974,6.423347,0.853183,0.005133,80.181818,80.284091,76.954545,82.295455,80.431818,81.761364,76.659091,75.568182,80.159091,75.272727,80.625,k2
970,6.426352,0.851546,0.009278,81.772727,73.818182,77.579545,80.477273,78.079545,77.397727,77.465909,83.704545,79.397727,78.306818,80.068182,k1
970,6.397844,0.847423,0.014433,82.943182,75.840909,76.534091,76.386364,79.647727,79.079545,77.375,78.670455,74.022727,75.806818,76.556818,k2
973,6.416945,0.850976,0.010277,77.75,78.852273,75.215909,78.738636,78.693182,76.284091,74.659091,71.465909,76.943182,78.181818,81.931818,k1
973,6.393218,0.848921,0.008222,76.409091,76.443182,82.284091,74.715909,77.261364,82.113636,73.306818,76.147727,81.511364,75.636364,78.363636,k2
972,6.415144,0.851852,0.013374,78.556818,80.272727,72.761364,79.272727,82.363636,80.534091,77.579545,78.443182,74.340909,72.875,80.215909,k1
972,6.394777,0.847737,0.018519,77.102273,77.897727,80.852273,81.988636,74.852273,75.5,74.295455,78.022727,76.409091,80.011364,76.215909,k2
974,6.384313,0.847023,0.005133,80.034091,77.920455,79.420455,75.284091,81.954545,88.329545,76.386364,78.636364,80.125,75.238636,78.806818,k1
974,6.402127,0.851129,0.0154,76.647727,74.522727,76.420455,78.079545,74.431818,73.284091,72.693182,77.102273,76.386364,78.306818,79.784091,k2
971,6.405622,0.84964,0.011329,79.818182,78.113636,79.181818,82.784091,80.795455,73.443182,80.988636,78.238636,78.397727,84.181818,76.840909,k1
971,6.411241,0.850669,0.010299,73.977273,75.340909,78.852273,75.090909,79.159091,71.488636,74,75.045455,76.5,79.056818,78.022727,k2
976,6.411086,0.848361,0.010246,77.272727,79.113636,77.181818,79.125,71.318182,77.329545,77.534091,84.431818,74.056818,82.920455,76.715909,k1
976,6.39617,0.848361,0.009221,78,78.579545,77.568182,72.318182,77.295455,82.306818,77.715909,78.920455,78.227273,78.181818,78.511364,k2
970,6.3992,0.850515,0.012371,77.602273,77.045455,77.147727,73.386364,75.170455,77.352273,81.965909,78.125,80.227273,79.068182,72.988636,k1
970,6.404039,0.849485,0.01134,80.329545,79.886364,78.920455,78.397727,77.613636,74.670455,78.045455,81.920455,75.363636,69.75,69.977273,k2
971,6.415702,0.84861,0.008239,79.068182,72.556818,79.125,76.329545,74.909091,82.25,75.329545,79.488636,83.340909,77.75,82.227273,k1
971,6.417405,0.850669,0.012358,83.170455,82.045455,82.204545,77.556818,75.909091,76.011364,73.886364,73.715909,83.613636,74.238636,80.488636,k2
970,6.410483,0.852577,0.009278,79.363636,81.011364,78.625,77.261364,75.977273,79.329545,78.159091,77.306818,81.852273,82.625,80,k1
970,6.408569,0.849485,0.010309,79.170455,79.431818,80.522727,79.488636,74.840909,77.568182,78.829545,80.897727,81.147727,75.352273,72.659091,k2
974,6.410286,0.851129,0.013347,81.715909,76.295455,83.375,78.943182,77.102273,79.5,78.556818,75.920455,83.056818,78.784091,79.125,k1
974,6.418682,0.849076,0.014374,80.136364,78.579545,81.909091,78.772727,78.147727,77.534091,74.693182,74.818182,76.056818,75.693182,83.579545,k2
968,6.395329,0.850207,0.006198,77.431818,74.318182,85.613636,74.715909,74.534091,79.340909,81.022727,77.090909,78.761364,79.931818,78.318182,k1
968,6.404643,0.852273,0.012397,81.818182,74.738636,79.704545,75.045455,80.829545,81.477273,80.397727,78.488636,80.306818,76.079545,76.863636,k2
970,6.417558,0.852577,0.01134,72.079545,74.125,79.693182,74.045455,75.215909,77.795455,78.5,79.954545,74.215909,78.022727,76.352273,k1
970,6.422068,0.849485,0.009278,76.340909,81.545455,77.363636,78.329545,79.988636,75.227273,79.397727,73.534091,77.772727,77.909091,75.136364,k2
972,6.400184,0.851852,0.007202,75.693182,74.193182,78.886364,81,80.840909,82.022727,81.693182,78.625,78.625,75.409091,79.181818,k1
972,6.415918,0.850823,0.01749,77.352273,79.5,78.931818,80.795455,77.863636,78.852273,79.761364,78.443182,77.352273,83.318182,80.806818,k2
976,6.396658,0.851434,0.01127,81.647727,78.590909,80.227273,80.715909,79.409091,76.443182,77.965909,79.170455,77.261364,78.125,82.511364,k1
976,6.401191,0.848361,0.021516,73.738636,80.965909,78.875,73.931818,75.386364,76.852273,78.352273,74.727273,78.352273,77.829545,75.636364,k2
970,6.422405,0.849485,0.009278,77.477273,76.670455,84.431818,80.465909,76.681818,78.340909,79.431818,79.852273,78.829545,78.897727,77.75,k1
970,6.420525,0.853608,0.009278,86.352273,77.590909,74.102273,80.863636,78.909091,80.465909,79.159091,77.25,81.602273,74.045455,78.284091,k2
976,6.407331,0.851434,0.016393,76.454545,80.954545,75.306818,77.340909,75.363636,81.318182,81,76.545455,76.227273,78.931818,80.147727,k1
976,6.396248,0.847336,0.01127,82.977273,78.897727,84.420455,77.431818,78.875,80.068182,75.318182,77.352273,76.238636,84.034091,76.943182,k2
966,6.433586,0.851967,0.013458,77.275862,80.172414,73.057471,76.988506,79.137931,77.83908,77.689655,77.413793,75.149425,79.528736,81.08046,k1
966,6.395726,0.851967,0.017598,78.655172,81.827586,81.586207,78.793103,77.91954,76.655172,81.149425,76.517241,76.781609,81.62069,77.505747,k2
974,6.406858,0.850103,0.010267,78.965909,72.329545,77.318182,79.25,78.113636,80.875,78.340909,72.670455,76.761364,80.534091,77,k1
974,6.405445,0.849076,0.017454,77.284091,79.931818,78.920455,77.034091,78.318182,76.465909,76.170455,78.534091,77.352273,79.011364,74.806818,k2
968,6.405352,0.850207,0.008264,76.056818,78.352273,82.193182,75.261364,82.318182,83.227273,77.125,78.715909,77.886364,77.590909,77.840909,k1
968,6.416285,0.850207,0.008264,82.386364,74.261364,79.125,81.636364,73.136364,79.443182,83.147727,79.931818,80.386364,81.522727,72.920455,k2
976,6.385516,0.849385,0.010246,79.147727,73.511364,77.806818,77.056818,76.568182,81.806818,76.534091,79.159091,75.034091,75.306818,73.886364,k1
976,6.405968,0.851434,0.012295,77.511364,84.602273,75.295455,78.431818,80.261364,78.215909,75.829545,85.375,78.522727,79.681818,78.931818,k2
774,6.374246,0.859173,0.011628,82.585714,77.285714,78.628571,77.157143,81.414286,79.914286,73.128571,78.828571,85.428571,78.2,77.828571,k1
774,6.355541,0.857881,0.005168,74.814286,77.842857,81.2,78.142857,80.714286,79.571429,71.714286,78.5,81.185714,73.342857,72.342857,k2
